ID	type	address	area	rooms	sqm_price	description
557	building	"plac Wojska Polskiego 85
44-140 Kołobrzeg"	113	7	9491	Średni jeszcze potrawa wykorzystywać byk zostać ssak.
558	building	"ulica Poziomkowa 46
54-293 Płock"	131	10	6591	Miły itp. użyć powolny dzieło konflikt. Jedzenie istnieć panna. Drugi policjant prowincja flaga.
559	building	"ul. Krasickiego 67/12
87-958 Ostrołęka"	87	5	6551	Most skala wiersz straszny. Urodziny powstawać znów jedenaście surowy przynieść lata.
560	building	"ulica Kochanowskiego 22
01-599 Racibórz"	120	9	8504	Przejście warunek srebrny broń. Podróż wódka ukraiński kij.
561	building	"ulica Turystyczna 022
42-528 Police"	154	10	6444	I trudny albo posiłek obszar. Azjatycki biskup 0 administracyjny właściciel przynosić.
562	building	"pl. Fiołkowa 764
09-119 Puławy"	135	9	5290	Czechy metoda włos stan położyć lista. Grecki trzydziesty obchodzić wzrost.
563	building	"ulica Lipowa 70
65-890 Czerwionka-Leszczyny"	129	10	5020	Kościół sprzęt niski religijny płeć rolnik. Z kończyć krowa głos świeży przyjąć 60 Ziemia.
564	flat	"aleja Prosta 21/18
06-866 Knurów"	30	3	10265	Zimny zostać struktura z krwi i kości. Budzić prawie widzieć Kraków.
565	building	"plac Orla 40/71
17-498 Żary"	121	8	5517	Zamiast żywy żywy 2 zegar. Przyrząd składnik — więzienie.
566	flat	"plac Zbożowa 024
12-658 Lubartów"	51	4	10997	Strumień letni gęś przedstawiać wybór krzyż. Włożyć go pełen roślina wynik mur jeździć.
567	flat	"al. Kosynierów 17/77
15-895 Białystok"	27	2	10446	Jaki wystawa ludzie występować relacja. Modlitwa życie wyrażać ostry jasny.
568	flat	"ul. Jabłoniowa 92
33-031 Lubin"	63	5	11781	Łączyć ani kolejowy kto uśmiech dolina drzewo. Wysyłać czekolada suchy niezwykły.
569	flat	"ulica Ptasia 01
13-463 Świebodzice"	48	4	7803	Poruszać głównie myśl opieka. Matematyka godzina arabski pojedynczy wykonać.
570	building	"al. Szafirowa 22
24-193 Dębica"	137	9	8900	Tysiąc kolacja rodowity okoliczność artystyczny między. Uważać bajka ono traktować.
571	flat	"ul. Średnia 52/12
17-909 Lubartów"	25	2	7189	Norma brać strefa niszczyć. Walka typowy ćwiczenie wiersz jajo.
572	building	"ulica Bociania 34
62-097 Zambrów"	102	8	5629	Czapka wykonać gdzieś rodzinny. Punkt odwaga okolica związać.
573	flat	"aleja Konopnickiej 69/74
04-586 Marki"	57	5	9414	Żeński lew banknot. Świeca rzucać ulica angielski potrzebny rządzić.
574	building	"aleja Ściegiennego 82/58
89-242 Olsztyn"	156	10	9326	Pojemnik własność przyjemność masa.
575	flat	"ul. Ludowa 94
49-949 Dąbrowa Górnicza"	26	2	8973	Trzeci domowy minerał szanowny gość 10. Traktować wojskowy obrót odzież Azja rozpocząć.
